age,annual_income,total_debt,monthly_expenses,num_credit_lines,num_late_payments,credit_history_years,num_bankruptcies,loan_amount_requested,employment_years,savings_balance,debt_to_income_ratio,expense_to_income_ratio,creditworthy
59,20977.73,13467.86,1551.9,6,1,29,0,1000.0,25,8744.6,0.642,0.8877,1
49,24299.23,15963.01,2632.31,1,1,27,1,1417.12,2,0.0,0.6569,1.2999,0
35,45692.57,3858.29,2451.35,9,1,29,1,37651.03,12,14655.47,0.0844,0.6438,0
63,26974.84,13530.78,1216.37,8,2,24,0,31285.06,31,16504.73,0.5016,0.5411,1
28,54043.04,15369.66,3025.88,5,1,0,0,28889.79,22,0.0,0.2844,0.6719,0
41,34656.55,13459.82,4378.46,1,0,8,0,43312.3,22,0.0,0.3884,1.516,0
59,57556.92,7909.35,1277.82,1,2,25,0,5311.78,29,114.23,0.1374,0.2664,1
39,95292.73,18458.75,1835.29,2,2,23,0,12919.59,5,14987.1,0.1937,0.2311,1
43,58765.58,3918.33,1502.72,0,4,0,0,13934.51,6,7710.45,0.0667,0.3069,0
31,52425.89,1092.06,1924.09,8,0,6,0,1000.0,29,6466.45,0.0208,0.4404,1
31,69706.07,23514.43,2219.12,13,0,24,0,8012.56,31,6956.39,0.3373,0.382,1
44,42589.51,22413.0,1442.13,9,2,19,0,3912.5,5,2269.08,0.5262,0.4063,0
56,81085.36,0.0,1778.46,10,0,12,0,1000.0,34,11300.25,0.0,0.2632,1
60,72380.32,0.0,2069.79,3,0,14,0,6546.12,31,21945.78,0.0,0.3431,1
44,60971.64,2895.1,2377.28,4,1,28,0,19012.67,11,256.31,0.0475,0.4679,1
23,63857.9,13460.41,3173.19,6,0,8,0,46806.51,3,13925.12,0.2108,0.5963,0
42,111043.65,28852.19,1988.42,0,0,15,0,4711.29,31,7820.15,0.2598,0.2149,1
22,83557.81,13167.07,1550.53,2,0,16,0,36101.94,34,7746.66,0.1576,0.2227,1
44,114988.17,5767.67,2557.07,13,2,8,0,23317.73,15,20707.15,0.0502,0.2668,1
64,73300.75,16783.03,2320.14,2,0,5,0,26554.56,14,17218.93,0.229,0.3798,1
50,23207.71,13631.81,1845.74,1,1,19,0,22171.8,1,8384.78,0.5874,0.9543,0
58,53445.66,0.0,2388.01,7,4,11,0,1000.0,5,16667.35,0.0,0.5362,1
22,17494.88,0.0,1693.48,4,1,15,0,4225.06,13,0.0,0.0,1.1615,0
41,73207.58,0.0,1575.69,0,0,27,0,28603.69,28,0.0,0.0,0.2583,1
53,78635.1,44758.22,480.55,11,0,20,0,20692.85,25,1981.07,0.5692,0.0733,1
32,37852.1,25319.78,1737.66,1,1,14,0,1000.0,17,0.0,0.6689,0.5509,0
42,43609.09,7875.41,589.98,0,0,6,0,16737.93,3,6133.62,0.1806,0.1623,0
64,63718.77,28299.2,1488.48,14,2,9,0,28885.44,24,18580.48,0.4441,0.2803,1
45,30047.4,8183.32,2463.58,5,1,28,0,1192.6,28,6428.9,0.2723,0.9838,1
47,28171.01,27902.16,795.86,8,1,3,0,14050.44,33,16768.67,0.9904,0.339,0
62,90965.8,15963.68,1848.12,10,1,23,0,42775.47,15,16567.74,0.1755,0.2438,1
48,62867.77,7093.79,2052.38,6,1,2,0,28839.75,29,0.0,0.1128,0.3917,1
36,46047.27,23157.84,1809.12,4,0,17,0,43799.91,22,14786.18,0.5029,0.4715,1
35,17697.03,16650.23,1614.93,11,0,0,0,14354.8,27,18993.88,0.9408,1.095,1
64,81308.78,19779.21,2260.31,12,0,29,0,36225.28,0,19620.03,0.2433,0.3336,1
23,42887.04,17586.08,2371.28,2,2,12,0,4526.41,7,7612.34,0.41,0.6635,1
57,106517.11,17460.18,2001.22,11,3,21,0,32454.87,14,9319.26,0.1639,0.2255,1
27,81482.75,24606.65,1659.39,11,1,17,0,9275.64,33,9907.84,0.302,0.2444,1
41,39796.45,46005.68,2691.79,7,1,7,0,26857.39,18,7954.69,1.156,0.8116,0
29,42113.21,29985.5,951.41,9,1,10,0,27615.58,29,0.0,0.712,0.2711,0
59,103046.28,17635.74,2549.9,3,5,9,0,30323.5,9,1431.21,0.1711,0.2969,0
38,57893.51,11272.72,2335.76,8,3,28,0,4878.63,26,14265.98,0.1947,0.4841,1
24,47167.22,12591.18,2159.22,4,2,3,0,24746.45,19,7452.64,0.2669,0.5493,0
45,60693.04,0.0,1992.08,13,0,24,0,20376.37,24,9728.35,0.0,0.3939,1
34,47052.18,22974.52,488.02,5,2,3,0,38816.31,8,18651.74,0.4883,0.1245,0
29,66026.21,2820.93,3109.88,4,0,3,0,10397.79,33,9508.34,0.0427,0.5652,1
46,58104.41,10530.55,2670.94,9,1,28,0,1000.0,20,0.0,0.1812,0.5516,1
22,81887.7,23044.18,1230.89,11,1,11,0,1000.0,23,28684.03,0.2814,0.1804,1
40,50285.65,12152.1,2607.05,10,2,7,0,15714.8,6,6143.06,0.2417,0.6221,0
48,37879.59,9092.54,2151.07,6,2,27,0,13596.89,3,5622.55,0.24,0.6814,1
27,51275.38,630.23,1533.6,6,2,12,0,15490.65,7,11395.95,0.0123,0.3589,1
64,51122.9,29463.92,2953.43,0,1,7,0,15560.56,12,7561.28,0.5763,0.6932,1
28,58061.65,5001.34,1655.33,1,0,20,0,40916.24,20,8274.17,0.0861,0.3421,1
55,75863.51,7969.49,3084.9,6,0,2,0,17794.77,34,3711.46,0.105,0.488,1
34,74497.72,0.0,2427.42,7,2,11,0,36969.29,4,17573.25,0.0,0.391,1
37,89991.47,14761.67,2765.25,3,3,17,0,25764.21,7,18890.67,0.164,0.3687,1
56,39712.76,11000.46,2463.27,5,2,14,0,6308.19,1,25206.54,0.277,0.7443,1
60,69718.0,17182.3,2426.18,10,1,24,0,20126.98,23,26533.92,0.2465,0.4176,1
24,78183.0,904.42,2172.18,11,0,13,0,43182.9,15,0.0,0.0116,0.3334,0
22,43144.49,23810.17,1418.54,9,1,8,0,35227.53,3,14332.9,0.5519,0.3945,0
26,54809.22,0.0,2050.02,2,1,4,0,38037.63,29,0.0,0.0,0.4488,0
62,16250.55,13893.87,2733.11,6,0,29,0,27572.39,29,20427.74,0.8549,2.0181,1
24,82671.44,16385.86,2575.41,10,1,28,0,12841.04,34,11752.88,0.1982,0.3738,1
49,54612.54,15693.29,2401.0,2,2,14,0,44600.77,12,2277.51,0.2874,0.5276,0
38,80164.1,16893.06,323.4,10,1,7,0,28392.31,10,0.0,0.2107,0.0484,0
46,65151.24,24464.06,1829.42,6,2,22,0,33963.53,18,2955.63,0.3755,0.337,1
64,55370.87,30896.38,1745.37,11,1,2,0,21628.05,17,1605.85,0.558,0.3783,0
54,20179.93,13132.7,1117.39,10,2,11,0,4499.2,16,20817.85,0.6507,0.6644,1
30,24626.18,3385.89,2723.01,11,1,4,0,25924.21,10,9490.33,0.1375,1.3268,0
56,12000.0,21728.61,379.75,10,2,28,1,45409.22,14,0.0,1.8106,0.3797,0
34,45934.66,11637.13,2669.31,7,1,8,0,32123.8,7,12668.17,0.2533,0.6973,0
51,116956.22,30175.44,3063.39,2,1,19,0,28307.53,28,12506.45,0.258,0.3143,1
35,27801.32,7776.4,1832.13,1,1,2,0,7101.68,16,7704.76,0.2797,0.7908,0
28,12000.0,4703.87,1940.53,11,0,22,0,42845.66,25,20139.41,0.392,1.9404,0
34,84066.72,16725.53,2774.05,5,1,7,0,40208.6,4,14236.87,0.199,0.396,1
43,119092.95,0.0,1389.08,3,0,20,0,1000.0,3,13519.54,0.0,0.14,1
60,67448.03,9390.86,2528.62,7,1,12,0,33933.73,23,0.0,0.1392,0.4499,0
41,67218.31,11041.91,1265.75,12,1,7,0,16258.16,10,6097.43,0.1643,0.226,0
36,52252.95,17645.67,1026.05,14,2,4,0,24375.15,29,15111.02,0.3377,0.2356,0
38,15143.57,3044.73,2236.79,13,0,24,0,7736.09,34,12552.1,0.201,1.7724,1
44,23732.2,4445.99,1978.65,1,2,6,0,21811.52,32,9991.42,0.1873,1.0004,0
46,52081.17,28882.96,623.2,3,1,4,0,3495.77,20,15451.91,0.5546,0.1436,1
45,47288.62,14838.46,3132.25,1,0,28,0,7951.4,4,13317.34,0.3138,0.7948,1
61,57120.68,25375.65,1668.23,13,1,8,0,27765.43,4,16513.55,0.4442,0.3505,1
49,80733.12,8498.55,2408.54,1,0,4,0,8647.68,20,12812.98,0.1053,0.358,1
35,45454.05,14346.59,3284.15,1,2,7,0,26433.67,24,16121.42,0.3156,0.867,1
21,81242.92,17574.41,2198.08,0,1,11,0,21645.8,9,15668.73,0.2163,0.3247,1
45,45617.76,35970.66,3018.63,3,1,3,0,55729.52,18,9245.99,0.7885,0.7941,0
27,85955.99,12388.58,1309.56,1,1,8,0,10298.03,31,9720.11,0.1441,0.1828,1
29,62159.19,13004.77,3136.79,8,0,27,0,14956.71,17,10697.75,0.2092,0.6056,1
44,49104.24,28177.84,1339.31,8,0,21,0,9252.7,33,0.0,0.5738,0.3273,1
21,61732.35,10442.26,1543.09,10,0,21,0,41445.91,14,0.0,0.1692,0.3,1
64,52661.53,18415.55,836.27,10,1,13,0,21597.09,23,14533.01,0.3497,0.1906,1
28,62828.36,27131.51,2214.74,6,0,18,0,17579.27,4,15015.67,0.4318,0.423,1
44,78952.65,8089.9,2504.74,5,2,12,0,31554.49,31,9769.59,0.1025,0.3807,1
31,57819.61,19085.55,2613.45,11,0,2,0,6947.61,8,13199.94,0.3301,0.5424,1
37,50760.78,35946.61,854.73,2,1,3,1,1000.0,4,15907.18,0.7081,0.2021,0
28,31912.09,26055.82,2299.98,13,3,0,0,24277.24,4,13920.79,0.8165,0.8648,0
55,74479.45,18419.2,2329.59,11,2,21,0,22431.89,33,15044.5,0.2473,0.3753,1
55,68706.81,12308.14,2491.82,13,2,0,0,8952.86,6,0.0,0.1791,0.4352,0
53,30451.43,7748.18,1381.82,14,2,10,0,25334.16,25,24812.41,0.2544,0.5445,0
25,80887.36,3141.77,300.0,6,1,15,0,47747.93,0,12910.16,0.0388,0.0445,1
62,30045.4,33115.49,2565.18,0,1,3,1,26714.65,33,18420.77,1.1021,1.0245,1
59,85730.54,30785.65,1883.34,8,2,28,0,1000.0,25,15261.17,0.3591,0.2636,1
61,77196.58,7114.63,2224.19,3,2,6,0,41256.61,31,722.54,0.0922,0.3457,0
48,70491.64,19052.24,1924.31,5,2,11,0,49840.36,11,3822.91,0.2703,0.3276,0
27,50575.12,16335.92,2187.6,5,4,5,1,27937.0,5,5275.98,0.323,0.519,0
29,74394.49,29212.99,2589.7,10,3,23,0,22569.8,19,20339.93,0.3927,0.4177,1
28,86909.3,19593.61,514.38,2,1,19,0,1000.0,18,1337.27,0.2254,0.071,1
32,74808.8,14726.17,2912.82,3,1,8,1,7016.72,15,0.0,0.1968,0.4672,0
54,43243.75,8499.77,1854.29,12,0,25,1,15395.94,3,13863.25,0.1966,0.5145,1
53,66685.17,19090.41,3301.66,10,1,7,0,8983.38,31,25774.83,0.2863,0.5941,1
43,88300.87,10821.81,1632.44,9,0,13,0,12358.89,17,2425.15,0.1226,0.2218,1
44,114977.45,17648.22,1454.72,2,2,14,0,21852.58,4,22901.81,0.1535,0.1518,1
57,54869.68,14088.35,1881.33,12,0,20,0,9731.87,5,16717.29,0.2568,0.4114,0
55,81447.08,10530.1,2399.99,5,0,29,0,42791.87,13,6206.01,0.1293,0.3536,1
64,88362.01,3327.11,1780.52,0,2,21,0,21116.58,17,0.0,0.0377,0.2418,1
60,39689.88,21170.34,2458.01,7,0,4,0,27568.07,9,6964.41,0.5334,0.7431,0
42,104551.96,15510.84,1690.3,7,2,14,0,27639.51,22,2880.55,0.1484,0.194,1
47,33370.38,36449.05,2027.91,8,1,5,0,25739.71,17,20802.88,1.0922,0.7292,0
55,80224.64,2611.86,3789.24,5,0,0,0,20711.8,3,9698.93,0.0326,0.5668,1
21,67632.99,22503.58,2285.81,0,0,19,0,34992.05,31,14331.47,0.3327,0.4056,1
55,61389.39,14008.24,2350.0,2,1,8,0,38137.63,5,14389.49,0.2282,0.4594,1
57,123670.83,40197.1,821.94,14,0,3,0,1000.0,25,4241.09,0.325,0.0798,1
34,52468.62,21587.66,3083.43,0,1,1,0,1000.0,5,10650.11,0.4114,0.7052,0
23,52066.36,18896.26,2853.17,14,1,5,0,11858.04,34,19010.83,0.3629,0.6576,1
21,93286.97,14038.77,1428.44,12,1,1,0,3266.33,4,9316.15,0.1505,0.1837,0
25,79045.09,6562.55,2837.38,14,1,2,0,8974.05,13,7608.35,0.083,0.4307,0
46,92052.47,18736.71,2263.84,4,0,6,0,13207.56,1,16212.88,0.2035,0.2951,0
34,62921.73,0.0,2037.13,2,1,19,0,16146.38,12,0.0,0.0,0.3885,0
59,67923.57,0.0,3032.76,13,0,16,1,1000.0,4,0.0,0.0,0.5358,0
47,107523.39,27149.26,1590.16,1,2,8,0,13786.44,18,12592.23,0.2525,0.1775,1
29,39101.15,0.0,1422.12,2,0,21,0,41340.14,19,19219.35,0.0,0.4364,1
35,57428.07,11165.12,2166.05,8,1,8,0,16229.05,21,26216.18,0.1944,0.4526,1
35,79956.35,2410.48,2422.58,10,2,18,0,28879.67,30,11766.55,0.0301,0.3636,1
46,55103.48,10170.35,2773.05,7,3,4,0,18990.41,3,17418.0,0.1846,0.6039,0
62,45746.35,17214.54,1879.24,12,2,24,0,21723.26,2,21862.98,0.3763,0.4929,1
33,75462.11,26814.66,1320.18,2,1,5,0,18267.41,24,10282.65,0.3553,0.2099,1
52,93395.14,29611.6,4022.85,10,2,17,1,31144.89,3,4228.72,0.3171,0.5169,0
59,56479.14,3972.56,1130.72,1,0,0,0,7686.74,6,3302.72,0.0703,0.2402,0
52,55785.26,9408.46,2044.09,4,0,24,0,22565.73,6,7348.08,0.1687,0.4397,1
24,43807.8,63630.6,2623.76,11,2,16,0,11345.36,24,23044.51,1.4525,0.7187,0
50,52600.58,11999.82,2920.9,11,0,13,0,30053.03,14,18390.26,0.2281,0.6663,1
57,87090.15,4413.47,1546.27,12,1,14,0,3380.54,6,8032.61,0.0507,0.2131,1
43,62026.57,6410.39,500.07,11,0,4,0,29758.28,3,21210.26,0.1033,0.0967,0
59,39875.23,12070.32,1527.79,0,0,16,0,23128.33,33,14074.99,0.3027,0.4598,1
35,66559.06,10287.15,2689.06,3,3,20,0,1029.39,18,8045.98,0.1546,0.4848,1
63,86279.85,12187.56,2510.0,7,4,20,0,46191.8,26,11593.35,0.1413,0.3491,1
49,45952.86,14742.88,2536.1,0,3,22,0,28367.59,4,13623.18,0.3208,0.6623,0
56,26784.87,14659.11,2569.33,4,0,22,0,3714.94,12,11230.65,0.5473,1.1511,1
33,114770.63,3534.16,3072.07,11,2,10,0,22351.19,13,25669.21,0.0308,0.3212,1
52,25536.77,19431.97,1379.29,3,2,9,1,1000.0,29,8652.1,0.7609,0.6481,0
27,51024.44,16452.56,1041.68,5,2,16,0,1000.0,9,0.0,0.3224,0.245,0
42,65803.21,20958.98,2296.38,6,1,24,0,37943.73,31,12812.99,0.3185,0.4188,1
48,53189.31,0.0,1161.18,8,0,0,0,1998.61,0,7376.88,0.0,0.262,0
22,58127.23,16882.13,991.27,0,0,4,0,31810.07,23,0.0,0.2904,0.2046,1
62,74420.95,0.0,2979.17,10,0,15,0,37508.84,28,15979.46,0.0,0.4804,1
26,12000.0,12893.15,2200.29,9,1,6,0,5239.59,6,0.0,1.0743,2.2001,0
48,28327.64,22895.24,2022.79,3,3,11,0,51199.64,30,12596.4,0.8082,0.8569,0
48,61106.48,27549.35,2039.42,5,2,7,0,21390.81,16,0.0,0.4508,0.4005,0
64,49894.57,19013.52,1915.09,9,0,17,0,20725.37,29,10046.41,0.3811,0.4606,1
64,63235.28,23104.69,2973.79,6,1,29,0,5026.76,24,14981.4,0.3654,0.5643,1
40,65691.33,11411.94,788.31,6,2,0,0,5297.92,27,16589.07,0.1737,0.144,1
